City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Laguna,US,2022-05-18 20:26:27,38.421,-121.4238,94.14,23,0,12.66
125,Port-Cartier,CA,2022-05-18 20:26:27,50.0334,-66.8654,48.74,45,90,17.11
126,New Norfolk,AU,2022-05-18 20:26:28,-42.7826,147.0587,50.92,63,97,1.99
127,Puerto Escondido,MX,2022-05-18 20:26:28,15.85,-97.0667,89.51,52,61,10.74
128,Tual,ID,2022-05-18 20:26:29,-5.6667,132.75,82.35,77,81,10.04
129,Reconquista,AR,2022-05-18 20:26:29,-29.15,-59.65,59.77,50,0,6.46
130,San Cristobal,VE,2022-05-18 20:26:29,7.7669,-72.225,77.18,64,100,5.91
131,Thompson,CA,2022-05-18 20:25:57,55.7435,-97.8558,50.16,29,20,14.97
132,Asfi,MA,2022-05-18 20:27:30,32.2994,-9.2372,68.07,82,0,18.03
133,Ranong,TH,2022-05-18 20:27:31,9.9658,98.6348,76.96,89,100,3.85
134,Elizabeth City,US,2022-05-18 20:27:31,36.2946,-76.2511,78.03,51,0,10.36
135,Nikolskoye,RU,2022-05-18 20:27:32,59.7035,30.7861,48.09,84,94,5.32
136,Marrakesh,MA,2022-05-18 20:27:32,31.6315,-8.0083,82.47,44,0,8.05
137,Ashington,GB,2022-05-18 20:27:32,50.9331,-0.3909,63.84,82,99,7.14
138,Bongor,TD,2022-05-18 20:27:33,10.2806,15.3722,81.36,60,93,2.82
139,Ilulissat,GL,2022-05-18 20:27:33,69.2167,-51.1,32.02,80,0,5.75
140,Ivanteyevka,RU,2022-05-18 20:27:34,55.9711,37.9208,49.66,79,77,7.78
141,Palos Verdes Estates,US,2022-05-18 20:27:34,33.8006,-118.3901,79.29,75,20,11.5
142,Sawakin,SD,2022-05-18 20:27:35,19.1059,37.3321,83.89,56,6,9.28
143,Leshan,CN,2022-05-18 20:27:35,29.5623,103.7639,59.04,97,100,1.57
144,Kurandvad,IN,2022-05-18 20:27:35,16.6833,74.5833,77.76,73,100,11.14
145,Faanui,PF,2022-05-18 20:27:36,-16.4833,-151.75,80.69,72,97,11.52
146,Hermanus,ZA,2022-05-18 20:27:36,-34.4187,19.2345,59.81,88,93,18.3
147,Luderitz,NA,2022-05-18 20:27:37,-26.6481,15.1594,63.79,71,80,4.94
148,Torbay,CA,2022-05-18 20:27:37,47.6666,-52.7314,59.77,89,75,14.97
149,Taksimo,RU,2022-05-18 20:27:38,56.3444,114.8794,50.13,73,98,4.18
150,Cherskiy,RU,2022-05-18 20:27:38,68.75,161.3,40.53,90,100,4.07
151,Airai,TL,2022-05-18 20:27:39,-8.9266,125.4092,58.39,92,57,2.93
152,Mnogovershinnyy,RU,2022-05-18 20:27:39,53.9353,139.9242,31.66,94,97,4.54
153,Otane,NZ,2022-05-18 20:27:40,-39.8833,176.6333,64.0,87,0,2.53
154,Carnarvon,AU,2022-05-18 20:27:40,-24.8667,113.6333,69.15,68,24,6.46
155,Souillac,MU,2022-05-18 20:27:41,-20.5167,57.5167,75.58,69,75,9.22
156,Port Keats,AU,2022-05-18 20:27:41,-14.25,129.55,72.7,78,0,5.19
157,Suntar,RU,2022-05-18 20:27:42,62.1444,117.6319,43.32,74,100,9.28
158,Brae,GB,2022-05-18 20:27:42,60.3964,-1.353,50.36,81,41,7.0
159,Muros,ES,2022-05-18 20:27:42,42.7762,-9.0603,61.09,83,19,1.34
160,Baijiantan,CN,2022-05-18 20:27:43,45.6333,85.1833,76.03,22,79,1.61
161,Chapais,CA,2022-05-18 20:27:43,49.7834,-74.8492,47.98,42,100,10.2
162,Duki,PK,2022-05-18 20:27:44,30.1541,68.5728,82.26,12,0,7.94
163,The Valley,AI,2022-05-18 20:27:44,18.217,-63.0578,85.86,78,20,11.5
164,Avarua,CK,2022-05-18 20:27:45,-21.2078,-159.775,77.68,79,37,15.46
165,Salalah,OM,2022-05-18 20:27:45,17.0151,54.0924,82.49,83,20,3.44
166,Bengkulu,ID,2022-05-18 20:27:46,-3.8004,102.2655,75.63,89,4,3.6
167,Port Elizabeth,ZA,2022-05-18 20:27:46,-33.918,25.5701,71.89,66,0,21.85
168,Poum,NC,2022-05-18 20:27:46,-20.2333,164.0167,77.22,75,2,7.78
169,Sokoto,NG,2022-05-18 20:27:47,13.0609,5.239,93.2,7,12,8.28
170,Esperance,AU,2022-05-18 20:27:47,-33.8667,121.9,59.61,89,77,7.23
171,Cabo San Lucas,MX,2022-05-18 20:27:16,22.8909,-109.9124,88.11,32,0,10.36
172,Magadan,RU,2022-05-18 20:27:48,59.5667,150.8,36.54,85,100,9.51
173,Kirakira,SB,2022-05-18 20:27:48,-10.4544,161.9205,79.34,80,2,2.06
174,Lorengau,PG,2022-05-18 20:27:49,-2.0226,147.2712,82.09,76,11,4.79
175,Vostok,RU,2022-05-18 20:28:49,46.4856,135.8833,38.03,64,6,5.01
176,Shuyskoye,RU,2022-05-18 20:28:49,59.3736,41.0305,35.78,97,90,4.72
177,Port Lincoln,AU,2022-05-18 20:28:50,-34.7333,135.8667,55.83,71,3,11.59
178,Komsomolskiy,UZ,2022-05-18 20:28:50,40.4272,71.7189,70.52,46,40,4.61
179,Husavik,IS,2022-05-18 20:28:51,66.0449,-17.3389,41.63,97,100,8.48
180,Chake Chake,TZ,2022-05-18 20:28:51,-5.2459,39.7666,76.62,81,44,9.57
181,Huancavelica,PE,2022-05-18 20:28:52,-12.7667,-74.9833,44.96,70,100,1.74
182,Morant Bay,JM,2022-05-18 20:28:52,17.8815,-76.4093,87.71,74,100,10.2
183,Kodiak,US,2022-05-18 20:28:52,57.79,-152.4072,60.31,29,0,13.8
184,Hailar,CN,2022-05-18 20:28:53,49.2,119.7,47.89,85,8,7.31
