City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
190,Praia Da Vitoria,38.7333,-27.0667,63.75,96,100,7.2,PT,2022-05-21 01:11:07,overcast clouds
191,Barrhead,55.7992,-4.3929,51.85,86,100,5.75,GB,2022-05-21 01:11:08,overcast clouds
192,Nossa Senhora Das Dores,-10.4917,-37.1933,71.29,83,100,5.06,BR,2022-05-21 01:11:08,overcast clouds
193,Sitka,57.0531,-135.33,57.09,67,20,4.61,US,2022-05-21 01:11:09,few clouds
194,Hohhot,40.8106,111.6522,71.65,22,100,2.55,CN,2022-05-21 01:11:09,overcast clouds
195,Mwene-Ditu,-7.0,23.45,74.17,57,100,3.15,CD,2022-05-21 01:11:10,overcast clouds
196,San Jose,37.3394,-121.895,78.69,24,20,16.11,US,2022-05-21 01:06:20,few clouds
197,Coquimbo,-29.9533,-71.3436,58.73,88,0,2.3,CL,2022-05-21 01:11:10,clear sky
198,Kutulik,53.3508,102.7839,55.11,80,100,17.22,RU,2022-05-21 01:11:11,overcast clouds
199,Cherskiy,68.75,161.3,56.68,39,11,13.89,RU,2022-05-21 01:11:11,few clouds
200,Grand Forks,47.9417,-97.4337,40.93,70,100,19.57,US,2022-05-21 01:11:12,overcast clouds
201,Harper,4.375,-7.7169,77.88,85,100,8.32,LR,2022-05-21 01:11:12,overcast clouds
202,Ahipara,-35.1667,173.1667,61.2,64,100,14.63,NZ,2022-05-21 01:11:13,overcast clouds
203,Camopi,3.1655,-52.3158,71.87,100,100,1.14,GF,2022-05-21 01:11:13,light rain
204,Pataskala,39.9956,-82.6743,81.75,63,40,11.5,US,2022-05-21 01:09:12,scattered clouds
205,Alghero,40.5589,8.3181,59.09,100,0,2.3,IT,2022-05-21 01:11:14,clear sky
206,Touros,-5.1989,-35.4608,78.04,86,89,6.02,BR,2022-05-21 01:11:15,overcast clouds
207,Bolshaya Sosnova,57.6713,54.6029,34.74,89,100,11.48,RU,2022-05-21 01:11:15,overcast clouds
208,Belmonte,-15.8631,-38.8828,70.36,63,6,7.16,BR,2022-05-21 01:06:56,clear sky
209,Ramanuj Ganj,23.8,83.7,91.27,28,0,13.2,IN,2022-05-21 01:11:16,clear sky
210,Vostok,46.4856,135.8833,70.61,37,70,9.01,RU,2022-05-21 01:11:16,broken clouds
211,Zhanaozen,43.3,52.8,54.97,65,100,20.27,KZ,2022-05-21 01:11:17,overcast clouds
212,Severo-Kurilsk,50.6789,156.125,43.75,86,100,13.31,RU,2022-05-21 01:11:17,overcast clouds
213,Nanortalik,60.1432,-45.2371,37.02,84,18,4.65,GL,2022-05-21 01:11:18,few clouds
214,Kajaani,64.2273,27.7285,46.45,49,0,3.44,FI,2022-05-21 01:10:02,clear sky
215,Youghal,51.95,-7.8506,51.1,100,100,8.97,IE,2022-05-21 01:11:18,overcast clouds
216,Bafilo,9.35,1.2667,71.62,91,100,3.53,TG,2022-05-21 01:09:10,light rain
217,Three Hills,51.7001,-113.2686,47.61,47,100,13.87,CA,2022-05-21 01:10:02,overcast clouds
218,Novoilinsk,51.6829,108.7143,74.91,30,81,2.35,RU,2022-05-21 01:11:19,broken clouds
219,Khorixas,-20.3667,14.9667,45.73,44,0,5.17,NA,2022-05-21 01:11:20,clear sky
220,Loreto,22.2667,-101.9667,80.91,11,11,19.06,MX,2022-05-21 01:11:20,few clouds
